idx,inchi_key,smiles,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results,npc_isglycoside,kmedoid_10,kmedoid_20,kmedoid_25,kmedoid_30,kmedoid_35,kmedoid_40,kmedoid_45,kmedoid_50,kmedoid_100
10,SOLJFAQVSWXZEQ-TVNIXMEMSA-N,COC1=C[C@]2(CC=C)[C@H](C)[C@@H](OC2=CC1=O)c3ccc4OCOc4c3,Organic_compounds,Phenylpropanoids_and_polyketides,2-arylbenzofuran_flavonoids,,2-arylbenzofuran_flavonoids,Neolignans,Lignans,Shikimates_and_Phenylpropanoids,0,KM_6,KM_10,KM_19,KM_17,KM_6,KM_27,KM_15,KM_5,KM_14
11,UWRCXFLYVGTCAN-HKUYNNGSSA-N,CC(C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N2CCC(CC2)C(=O)N[C@@H](CC(=O)O)C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Peptidomimetics,Hybrid_peptides,Hybrid_peptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_2,KM_18,KM_23,KM_13,KM_13,KM_18,KM_14,KM_1,KM_53
12,DBXFAPJCZABTDR-UJLUYDJNSA-N,C/C=C(\C)/C(=O)N[C@H]([C@@H](O)C(=O)O[C@H]\1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)C4[C@@]5(CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(=O)C)/C(=C1\C)/C2(C)C)OC(=O)C)c6ccccc6,Organic_compounds,Lipids_and_lipid-like_molecules,Prenol_lipids,Diterpenoids,Taxanes_and_derivatives,Taxane_diterpenoids;_Tetracyclic_diterpenoids,Diterpenoids,Terpenoids,0,KM_9,KM_15,KM_2,KM_21,KM_22,KM_1,KM_26,KM_2,KM_40
13,XYYYPIAQQFQTAN-UHFFFAOYSA-N,COc1cc2[nH]c3ccccc3c2cc1C,Organic_compounds,Organoheterocyclic_compounds,Indoles_and_derivatives,Carbazoles,Carbazoles,Carbazole_alkaloids,Tryptophan_alkaloids,Alkaloids,0,KM_9,KM_16,KM_5,KM_26,KM_5,KM_33,KM_5,KM_7,KM_44
14,KZWCTFLBFSWYHS-UHFFFAOYSA-N,O=C(Oc1cccc2ccccc12)c3ccccc3,Organic_compounds,Benzenoids,Naphthalenes,,Naphthalenes,Chalcones,Flavonoids,Shikimates_and_Phenylpropanoids,0,KM_5,KM_3,KM_3,KM_3,KM_3,KM_3,KM_3,KM_3,KM_75
15,DGHIPRZJHFKOMO-MQJDWESPSA-N,COc1ccc2[nH]c3c(CCN4C(=O)N([C@@H](C)C(=O)NC5CC5)C(=O)[C@@]43C)c2c1,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,Carboline_alkaloids,Tryptophan_alkaloids,Alkaloids,0,KM_9,KM_4,KM_4,KM_4,KM_4,KM_4,KM_4,KM_4,KM_86
16,SGVKXVYYWIBUII-ZBFHGGJFSA-N,CC(=O)c1ccc(NC(=O)N2C[C@H]3C[C@@H](C2)c4cccc(=O)n4C3)cc1,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids,Lysine_alkaloids;_Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_12,KM_22,KM_12,KM_12,KM_35,KM_35,KM_35,KM_99
17,AWLOHOKCXNGHMM-ATBAIXNZSA-N,CC(Oc1ccc2c3ccccc3c(=O)oc2c1C)C(=O)NC[C@H]4CC[C@@H](CC4)C(=O)O,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_6,KM_6,KM_6,KM_6,KM_18,KM_27,KM_42,KM_33,KM_3
18,MRIXVKKOHPQOFK-UHFFFAOYSA-N,COc1ccc(C(=O)O)c(O)c1,Organic_compounds,Benzenoids,Benzene_and_substituted_derivatives,Benzoic_acids_and_derivatives,P-methoxybenzoic_acids_and_derivatives,Simple_phenolic_acids,Phenolic_acids_(C6-C1),Shikimates_and_Phenylpropanoids,0,KM_0,KM_19,KM_9,KM_19,KM_0,KM_19,KM_19,KM_19,KM_55
19,NZVQLVGOZRELTG-UHFFFAOYSA-N,COc1c2ccoc2cc3oc(C)cc(=O)c13,Organic_compounds,Organoheterocyclic_compounds,Benzopyrans,1-benzopyrans,Furanochromones,Chromones,Chromanes,Polyketides,0,KM_4,KM_0,KM_15,KM_28,KM_28,KM_28,KM_0,KM_0,KM_73
20,DMBUIFMXQQFLAB-UHFFFAOYSA-N,O=C(NC(=S)N1CCCCC1c2cccnc2)c3ccccc3,Organic_compounds,Alkaloids_and_derivatives,,,Alkaloids_and_derivatives,Pyridine_alkaloids,Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_17,KM_14,KM_8,KM_21,KM_2,KM_28,KM_22,KM_57
21,AJTBRMHOFPCWLF-UHFFFAOYSA-N,COc1ccc(CCNC(=O)COc2cc(C)cc3oc(=O)c(C)c(C)c23)cc1OC,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_13,KM_19,KM_17,KM_19,KM_30,KM_34,KM_14,KM_94
22,MYFWYMUMGWMICB-WKILWMFISA-N,Cc1cc(=O)oc2c3CCC(C)(C)Oc3cc(OCC(=O)NC[C@H]4CC[C@@H](CC4)C(=O)O)c12,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,Pyranocoumarins,Angular_pyranocoumarins,Pyranocoumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_29,KM_9,KM_27,KM_71
23,KXLLMZMKIMFEFF-ZBFHGGJFSA-N,CC(C)[C@H](NC(=O)N1CC(=O)Nc2ccccc12)C(=O)N3CCC[C@@H]3C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_7,KM_17,KM_14,KM_8,KM_29,KM_8,KM_2,KM_46,KM_59
24,YUCKYAMVMGWKSX-UHFFFAOYSA-N,COc1cccc(OC)c1C(=O)NC(=S)N2CCCCC2c3cccnc3,Organic_compounds,Benzenoids,Benzene_and_substituted_derivatives,Methoxybenzenes,Dimethoxybenzenes,Pyridine_alkaloids,Nicotinic_acid_alkaloids,Alkaloids,0,KM_0,KM_13,KM_0,KM_0,KM_19,KM_30,KM_34,KM_14,KM_94
25,SRNFRTSVHROPLE-ZUHTXRHNSA-N,C[C@@H]1[C@@H]2CC(=O)O[C@@H]3C[C@](C)([C@H]4OC(=O)C=C4C)C(=C(O)C1=O)[C@@]32CO,Organic_compounds,Lipids_and_lipid-like_molecules,Prenol_lipids,Terpene_lactones,Quassinoids,Quassinoids,Triterpenoids,Terpenoids,0,KM_9,KM_15,KM_17,KM_16,KM_20,KM_14,KM_8,KM_26,KM_19
26,SRNFRTSVHROPLE-ZUHTXRHNSA-N,C[C@@H]1[C@@H]2CC(=O)O[C@@H]3C[C@](C)([C@H]4OC(=O)C=C4C)C(=C(O)C1=O)[C@@]32CO,Organic_compounds,Lipids_and_lipid-like_molecules,Prenol_lipids,Terpene_lactones,Quassinoids,Quassinoids,Triterpenoids,Terpenoids,0,KM_3,KM_9,KM_12,KM_24,KM_22,KM_1,KM_26,KM_2,KM_96
27,GAIYJSQKRRARSH-HXGDPMPDSA-N,COC1=C[C@]2(CC=C)[C@H](C)[C@@H](OC2=C(OC)C1=O)c3ccc4OCOc4c3,Organic_compounds,Phenylpropanoids_and_polyketides,2-arylbenzofuran_flavonoids,,2-arylbenzofuran_flavonoids,Neolignans,Lignans,Shikimates_and_Phenylpropanoids,0,KM_6,KM_15,KM_8,KM_9,KM_6,KM_22,KM_22,KM_39,KM_6
28,SVZORQBLCFZGBK-UHFFFAOYSA-N,O=C(NCC1CCCCC1)NCC2CCCCC2,Organic_compounds,Organic_acids_and_derivatives,Organic_carbonic_acids_and_derivatives,Ureas,Ureas,,,,0,KM_3,KM_15,KM_24,KM_2,KM_24,KM_34,KM_29,KM_48,KM_24
29,JOTXKBDAQVLFAX-UHFFFAOYSA-N,Cn1ccc(O)c(C#N)c1=O,Organic_compounds,Organoheterocyclic_compounds,Pyridines_and_derivatives,3-pyridinecarbonitriles,3-pyridinecarbonitriles,Pyridine_alkaloids,Nicotinic_acid_alkaloids,Alkaloids,0,KM_0,KM_19,KM_9,KM_23,KM_23,KM_23,KM_23,KM_23,KM_23
30,DWHHXZAZGAWQDF-HKFHSAMXSA-N,Fc1ccc(/C=C/C(=O)NC(=S)N2C[C@H]3C[C@H](C2)c4cccc(=O)n4C3)cc1,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Pyridine_alkaloids;_Quinolizidine_alkaloids,Lysine_alkaloids;_Nicotinic_acid_alkaloids,Alkaloids,0,KM_8,KM_12,KM_22,KM_12,KM_12,KM_35,KM_35,KM_45,KM_69
31,LPVUBEMQVNVTLG-WKXXDYOBSA-N,O=C(NCC1CCCO1)[C@@H]2CCC(=O)N2C3OC(=O)c4ccccc34,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Proline_and_derivatives,,,,0,KM_7,KM_0,KM_15,KM_28,KM_28,KM_28,KM_40,KM_40,KM_67
32,DLLZYSNYQLEBDM-HAWMADMCSA-N,COc1ccc(CNC(=O)[C@H](C)N2C(=O)N3CCc4c([nH]c5ccccc45)[C@@]3(C)C2=O)cc1OC,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,Carboline_alkaloids,Tryptophan_alkaloids,Alkaloids,0,KM_0,KM_13,KM_0,KM_23,KM_19,KM_30,KM_34,KM_14,KM_30
33,NQYBAQKNRIOTBU-PMACEKPBSA-N,CSCC[C@H](N)C(=O)N1CCC(CC1)C(=O)N[C@@H](C(C)C)C(=O)NCc2ccccc2F,Organic_compounds,Organic_acids_and_derivatives,Peptidomimetics,Hybrid_peptides,Hybrid_peptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_5,KM_1,KM_1,KM_1,KM_10,KM_13,KM_13,KM_13,KM_13
34,XSYCDVWYEVUDKQ-UHFFFAOYSA-N,CN1CCC23C4Nc5ccccc5C3(CCN4C)C1Nc6ccccc62,Organic_compounds,Organoheterocyclic_compounds,Quinolines_and_derivatives,Aminoquinolines_and_derivatives,Aminoquinolines_and_derivatives,Pyrroloindole_alkaloids,Tryptophan_alkaloids,Alkaloids,0,KM_9,KM_4,KM_4,KM_4,KM_4,KM_4,KM_4,KM_4,KM_38
35,KGGMUKPCMBFYJH-WMZOPIPTSA-N,COc1ccc2n(C)c(cc2c1)C(=O)N[C@@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,,Small_peptides;_Tryptophan_alkaloids,Alkaloids;_Amino_acids_and_Peptides,0,KM_9,KM_15,KM_8,KM_9,KM_1,KM_29,KM_9,KM_18,KM_21
36,KGGMUKPCMBFYJH-WMZOPIPTSA-N,COc1ccc2n(C)c(cc2c1)C(=O)N[C@@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,,Small_peptides;_Tryptophan_alkaloids,Alkaloids;_Amino_acids_and_Peptides,0,KM_4,KM_5,KM_7,KM_7,KM_7,KM_12,KM_21,KM_21,KM_88
37,HEBSLKYYHMZVRZ-UHFFFAOYSA-N,CCc1cc(=O)oc2cc(C)cc(OCC(=O)N3CCC(CC3)C(=O)O)c12,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_31,KM_16,KM_31,KM_68
38,WAZZQDMECLXFPW-UHFFFAOYSA-N,COc1ccc(cc1)c2cc(=O)oc3c(C)c(OCC(=O)NCCCn4ccnc4)ccc23,Organic_compounds,Phenylpropanoids_and_polyketides,Neoflavonoids,Neoflavones,Neoflavones,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_1,KM_18,KM_18,KM_18,KM_18,KM_27,KM_42,KM_33,KM_3
39,MJAUXSBPRZFFSF-UHFFFAOYSA-N,CCCc1cc(=O)oc2c3CCC(C)(C)Oc3cc(OCC(=O)NCc4ccccn4)c12,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,Pyranocoumarins,Angular_pyranocoumarins,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_19,KM_17,KM_17,KM_17,KM_20,KM_17,KM_62
40,JFNMDBVMRGQXAH-JAIYHHTPSA-N,CC(Oc1cc2oc(=O)c3CCCc3c2cc1Cl)C(=O)N4C[C@H]5C[C@@H](C4)c6cccc(=O)n6C5,Organic_compounds,Alkaloids_and_derivatives,Lupin_alkaloids,Cytisine_and_derivatives,Cytisine_and_derivatives,Quinolizidine_alkaloids,Lysine_alkaloids,Alkaloids,0,KM_8,KM_8,KM_11,KM_14,KM_14,KM_10,KM_12,KM_47,KM_47
41,USYRMAOMZAWXNE-UHFFFAOYSA-N,COc1ccc(CNC(=O)COc2cc3OC(C)(C)CCc3c4oc(=O)cc(C)c24)cc1,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,Pyranocoumarins,Angular_pyranocoumarins,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_13,KM_19,KM_17,KM_19,KM_30,KM_34,KM_14,KM_12
42,RRWXSVSMTCNULZ-FBMPGHKGSA-N,CC(C)c1ccc(cc1)C2N3[C@@H](Cc4c2[nH]c5ccccc45)C(=O)N(C3=O)c6ccccc6C(=O)N7CCC[C@@H]7C(=O)O,Organic_compounds,Organoheterocyclic_compounds,Indoles_and_derivatives,Pyridoindoles,Beta_carbolines,Carboline_alkaloids,Tryptophan_alkaloids,Alkaloids,0,KM_9,KM_15,KM_17,KM_16,KM_20,KM_14,KM_8,KM_26,KM_19
43,BUKIYBRHWQNVOV-GOTSBHOMSA-N,CC(C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N2CCC(CC2)C(=O)N[C@H](C(=O)O)c3ccccc3,Organic_compounds,Organic_acids_and_derivatives,Peptidomimetics,Hybrid_peptides,Hybrid_peptides,,,Amino_acids_and_Peptides,0,KM_5,KM_18,KM_23,KM_13,KM_13,KM_18,KM_14,KM_1,KM_53
44,OROWBXRNPAFEHJ-UHFFFAOYSA-N,Cc1cc(=O)oc2c3CCC(C)(C)Oc3cc(OCC(=O)NCc4ccncc4)c12,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,Pyranocoumarins,Angular_pyranocoumarins,Pyranocoumarins;_Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_19,KM_17,KM_17,KM_17,KM_20,KM_17,KM_62
45,ZWCCRPJSIQVJAC-ADSBAMQRSA-N,COc1ccc2[nH]c3c(CCN4C(=O)N([C@@H](C)C(=O)NC5CCN(Cc6ccccc6)CC5)C(=O)[C@@]43C)c2c1,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,Carboline_alkaloids,Tryptophan_alkaloids,Alkaloids,0,KM_9,KM_15,KM_4,KM_4,KM_4,KM_4,KM_4,KM_24,KM_82
46,DKONDWKMQBULON-UHFFFAOYSA-N,COc1ccc(CCNC(=O)c2cc3c(=O)n4ccccc4nc3n(CC5CCCO5)c2=N)cc1OC,Organic_compounds,Organoheterocyclic_compounds,Pyridopyrimidines,"Pyrido[2,3-d]pyrimidines","Pyrido[2,3-d]pyrimidines",,,Alkaloids,0,KM_2,KM_14,KM_19,KM_17,KM_17,KM_27,KM_20,KM_17,KM_96
47,QHINZRLGOWBIBL-CYBMUJFWSA-N,Cc1cc(OCC(=O)N2CCC[C@@H]2C(=O)O)c3c(C)c(C)c(=O)oc3c1,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",N-acyl-alpha_amino_acids,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_31,KM_16,KM_31,KM_68
48,OWFZDADMSQYQET-IBGZPJMESA-N,OC(=O)[C@H](Cc1ccccc1)NC(=O)COc2ccc3c4CCCc4c(=O)oc3c2,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Phenylalanine_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_8,KM_7,KM_21,KM_29,KM_34,KM_9,KM_41,KM_29,KM_81
49,SCMRAVQXCAHESR-ITGFMWSFSA-N,CC(Oc1ccc2ccc(=O)oc2c1)C(=O)NC[C@H]3CC[C@@H](CC3)C(=O)O,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_31,KM_16,KM_31,KM_27
50,PKCSYDDSNIJRIX-UHFFFAOYSA-N,CN(CC(=O)O)C(=O)c1ccccc1,Organic_compounds,Benzenoids,Benzene_and_substituted_derivatives,Benzoic_acids_and_derivatives,Hippuric_acids,,,Alkaloids,0,KM_5,KM_3,KM_3,KM_3,KM_3,KM_3,KM_3,KM_3,KM_75
51,HVQAJTFOCKOKIN-UHFFFAOYSA-N,Oc1c(oc2ccccc2c1=O)c3ccccc3,Organic_compounds,Phenylpropanoids_and_polyketides,Flavonoids,Flavones,Flavonols,Flavonols,Flavonoids,Shikimates_and_Phenylpropanoids,0,KM_6,KM_6,KM_6,KM_6,KM_11,KM_6,KM_6,KM_9,KM_11
52,QGJYMDGLIUFPFT-UEDXYCIISA-N,C[C@H](NC(=O)Cc1c(C)c2cc3c(C)c(C)oc3cc2oc1=O)C(=O)NC(Cc4ccc(Cl)cc4)C(=O)O,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,"Amino_acids,_peptides,_and_analogues",Dipeptides,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_6,KM_16,KM_5,KM_26,KM_5,KM_36,KM_36,KM_36,KM_36
53,RYJWSNUDETVRFF-FARCUNLSSA-N,CC(O)/C=C/C1OC(=O)CC1Nc2ccc(C=O)cc2,Organic_compounds,Benzenoids,Benzene_and_substituted_derivatives,Benzoyl_derivatives,Benzoyl_derivatives,,,,0,KM_8,KM_12,KM_22,KM_12,KM_31,KM_24,KM_24,KM_35,KM_31
54,AFDXODALSZRGIH-QPJJXVBHSA-N,COc1ccc(/C=C/C(=O)O)cc1,Organic_compounds,Phenylpropanoids_and_polyketides,Cinnamic_acids_and_derivatives,Cinnamic_acids,Cinnamic_acids,Cinnamic_acids_and_derivatives,Phenylpropanoids_(C6-C3),Shikimates_and_Phenylpropanoids,0,KM_0,KM_0,KM_15,KM_0,KM_28,KM_33,KM_0,KM_0,KM_0
55,WPFIJMIBEGNIHW-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)c1c(O)cccc1O,Organic_compounds,Organic_oxygen_compounds,Organooxygen_compounds,Carbonyl_compounds,Alkyl-phenylketones,,Aromatic_polyketides,Polyketides,0,KM_0,KM_19,KM_9,KM_0,KM_0,KM_19,KM_19,KM_19,KM_41
56,CIPDGAJKNINTBP-UHFFFAOYSA-N,CC(Oc1ccc2c3CCCc3c(=O)oc2c1)C(=O)NCC4CCC(CC4)C(=O)O,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_8,KM_17,KM_14,KM_12,KM_21,KM_2,KM_28,KM_22,KM_57
57,HYWCEKODDLAZFM-UHFFFAOYSA-N,CCCCc1cc(=O)oc2cc(OCC(=O)N3CCC(CC3)(C(=O)O)c4ccccc4)ccc12,Organic_compounds,Organoheterocyclic_compounds,Piperidines,Phenylpiperidines,Phenylpiperidines,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_4,KM_7,KM_21,KM_29,KM_34,KM_9,KM_43,KM_43,KM_43
58,PBVWYDDSHIDNBJ-DQEYMECFSA-N,COc1ccc(CNC(=O)[C@@H](NC(=O)C2CCN(CC2)C(=O)[C@@H](N)Cc3ccccc3)C(C)C)cc1,Organic_compounds,Organic_acids_and_derivatives,Peptidomimetics,Hybrid_peptides,Hybrid_peptides,Tripeptides,Small_peptides,Amino_acids_and_Peptides,0,KM_5,KM_1,KM_1,KM_1,KM_10,KM_21,KM_10,KM_12,KM_60
59,MMKYMEZOBIWZRU-UHFFFAOYSA-N,CC(Oc1cc(C)cc2oc(=O)c(C)c(C)c12)C(=O)NC(Cc3c[nH]c4ccc(O)cc34)C(=O)O,Organic_compounds,Organoheterocyclic_compounds,Indoles_and_derivatives,Tryptamines_and_derivatives,N-acylserotonins,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_2,KM_14,KM_16,KM_27,KM_27,KM_31,KM_16,KM_31,KM_68
60,XTOJWOBUZUCTGY-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(OCC(=O)NC3CCCC3)ccc12,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,Coumarins_and_derivatives,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_7,KM_11,KM_20,KM_10,KM_33,KM_37,KM_0,KM_0,KM_73
61,KWSBBEWXGYPTOC-UHFFFAOYSA-N,CC(Oc1ccc2c(cc(=O)oc2c1)c3ccccc3)C(=O)NCCCn4ccnc4,Organic_compounds,Phenylpropanoids_and_polyketides,Neoflavonoids,Neoflavones,Neoflavones,Simple_coumarins,Coumarins,Shikimates_and_Phenylpropanoids,0,KM_1,KM_9,KM_12,KM_24,KM_26,KM_39,KM_44,KM_44,KM_50
